Entity,Code,Day,cum_excess_proj_all_ages
Albania,ALB,2020-01-31,-247.2
Albania,ALB,2020-02-29,-190.79999
Albania,ALB,2020-03-31,-164.99998
Albania,ALB,2020-04-30,-94.999985
Albania,ALB,2020-05-31,23.000015
Albania,ALB,2020-06-30,188.00002
Albania,ALB,2020-07-31,602.8
Albania,ALB,2020-08-31,1384.2
Albania,ALB,2020-09-30,1848
Albania,ALB,2020-10-31,2600
Albania,ALB,2020-11-30,4703.4
Albania,ALB,2020-12-31,5812.4
Albania,ALB,2021-01-31,6384.8
Albania,ALB,2021-02-28,8200.8
Albania,ALB,2021-03-31,9685.2
Albania,ALB,2021-04-30,10374.8
Albania,ALB,2021-05-31,10568.399
Albania,ALB,2021-06-30,10780.999
Albania,ALB,2021-07-31,10854.399
Albania,ALB,2021-08-31,11244.399
Albania,ALB,2021-09-30,12236.8
Albania,ALB,2021-10-31,13149.399
Albania,ALB,2021-11-30,13909.399
Albania,ALB,2021-12-31,14654.999
Albania,ALB,2022-01-31,15523.899
Albania,ALB,2022-02-28,16323.399
Albania,ALB,2022-03-31,16257.3
Albania,ALB,2022-04-30,16239.399
Albania,ALB,2022-05-31,16238.499
Albania,ALB,2022-06-30,16167.599
Albania,ALB,2022-07-31,16413.498
Albania,ALB,2022-08-31,16603.998
Albania,ALB,2022-09-30,16360.898
Albania,ALB,2022-10-31,16386.998
Albania,ALB,2022-11-30,16317.498
Albania,ALB,2022-12-31,15871.598
Albania,ALB,2023-01-31,15612.098
Albania,ALB,2023-02-28,15554.197
Albania,ALB,2023-03-31,15106.697
Albania,ALB,2023-04-30,15049.397
Albania,ALB,2023-05-31,15058.098
Albania,ALB,2023-06-30,14768.798
Albania,ALB,2023-07-31,15025.298
Albania,ALB,2023-08-31,15045.397
Albania,ALB,2023-09-30,14849.897
Albania,ALB,2023-10-31,14879.598
Albania,ALB,2023-11-30,14805.697
Albania,ALB,2023-12-31,14277.397
Algeria,DZA,2020-01-31,-438.9
Algeria,DZA,2020-02-29,-536.3
Algeria,DZA,2020-03-31,-488.69998
Algeria,DZA,2020-04-30,-329.09998
Algeria,DZA,2020-05-31,-345.49997
Algeria,DZA,2020-06-30,3268.1
Algeria,DZA,2020-07-31,20171.7
Algeria,DZA,2020-08-31,28323.799
Algeria,DZA,2020-09-30,31062.898
Algeria,DZA,2020-10-31,34432
Algeria,DZA,2020-11-30,45018.6
