"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20752.3282847905","22427.993237547","23482.9110845945","25023.3814156027","26784.5979560137","27191.1360078965","27182.2817540513","28716.8977506392","28741.8479521331","28654.4401410505","30746.6847192965","32179.9407289433","31988.1893647276","32654.4258915852","35653.9744751721","36265.5303845399","37361.9370413717","39074.4838418559","40054.6394741559","35167.5313180673","34227.828725148","35778.4917971718","34762.7881837471","36877.0141316881","36763.2090049193","37231.9184954157","37444.4410939296","38697.9495072882","40379.2937237332","40124.7579975465","30437.2025162434","38226.146156979","45235.8932279765","",
"Africa Eastern and Southern","AFE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1819.60012541498","1832.41626836395","1791.80345454615","1784.12117969098","1809.69707305099","1880.92564800577","1967.9139595789","2036.21525112668","2045.83103897475","2080.37339943347","2146.06393664192","2217.80993229639","2281.59644610505","2341.81994480132","2474.96299271442","2641.08577018468","2827.79191648229","3016.01089822537","3127.02663163359","3085.67894079512","3194.92420546959","3300.54335782531","3213.9883083229","3337.14677193283","3473.84642762754","3502.18662677529","3595.61628911719","3640.2199587307","3694.84985270704","3782.49970830074","3666.19758932388","3966.7340688385","4294.04786195858","",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","943.116264973779","970.645114676507","971.811023482828","1075.67137317936","1120.89312847686","1287.06440027539","1336.21033898238","1575.31677908966","1771.19798501195","1749.93699491677","1994.5352769908","2138.75306025805","2229.67953873833","2289.37198611713","2217.29678631971","2338.77869693875","2436.0063198102","2589.41039554201","2568.34190916777","2138.87024713086","","",
"Africa Western and Central","AFW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1742.87486008432","1778.02466877587","1815.55371345931","1791.13527903744","1781.56043031853","1809.01418468852","1878.08040194793","1942.16481357796","1980.82152598392","1987.00353339115","2049.46662346862","2145.0344813828","2317.55632601827","2425.1287565475","2612.90018464374","2772.47019484935","2926.86053377331","3081.36987452487","3246.18649131401","3369.51488364851","3543.26411040956","3690.21949479628","3806.44099770239","3970.84435357025","4179.97684005829","4130.05279620734","4072.36976407544","4138.64893653175","4272.10272784712","4522.05904159332","4502.34699792084","4750.71941473266","5148.354256646","",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3283.17084264682","3315.70892012087","3091.20134167919","2330.66232463358","2336.37906790098","2654.40279083022","2968.58657619534","3133.18615405633","3210.0823089319","3220.72474626244","3285.95341568284","3388.14868776504","3782.89222467172","3839.57282705314","4223.63778745545","4835.66952220115","5364.43766234147","6056.77918764932","6615.11498307247","6471.28487885863","6586.46581926881","6700.11409977804","7351.76076688254","7566.4230507907","7999.82685137622","7127.3395733001","6850.38462458694","6998.79618747166","7353.34998821375","7533.51185400503","6455.119982133","7414.27895783202","7928.61906501106","",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2549.23481602255","1908.93577216008","1823.13745328374","2057.278866733","2289.68406010844","2665.54660699017","2979.82040814763","2717.13899467845","3021.02878754645","3471.64661643634","3861.30093630736","4300.82779352662","4751.75772667328","5000.33669862432","5427.8558132697","5865.29135442867","6566.54932465516","7284.99042880803","8228.37543743763","8812.73979686053","9627.07697313628","10207.7247723504","10526.2388106069","10570.9731581409","11259.3036811774","11658.8307104915","12078.7842635213","12770.9664236798","13498.157987926","14618.3006097429","14437.1730660262","16262.6634527606","19496.2148510567","",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24353.9781502939","24949.9627345202","24924.3216912338","24452.4006312595","24781.7597466188","25217.8169632534","26362.8942002696","29007.3003121889","30036.8944851395","31482.2627613407","33108.5902885146","35673.3558291258","36257.125032307","38524.3791995286","41094.3447124164","43051.8117089337","46285.2855155573","49542.3619675238","49010.4019909402","48102.2561822317","49275.5536614404","50973.8196779859","49034.3292145288","47884.1942246569","49823.9176128011","50955.1889023576","52790.871323301","53031.6619118219","55354.3891037228","57573.6930490229","51881.2896726873","58829.8500720505","67841.3346398944","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6702.10896277997","7293.91593813945","7640.59996044151","7833.3561100835","8015.91225638688","8198.58940820488","8525.89409500992","8848.91377786309","9229.24424304409","9337.71871731729","9965.20306706785","10130.9411792386","10101.3364466405","10503.0785197143","11523.5135194171","12241.58519701","13018.180039952","13588.0366015868","14238.3967752874","14015.8867642919","14495.3562204853","15043.5865563246","15917.0216734213","15849.2617705483","15589.0888934727","14117.2540181676","13685.6071860798","14299.4365895415","15286.1831126398","15366.149790977","14083.8710901918","15392.4106876358","17182.009938589","",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86852.6844745038","85681.6988624879","85950.1945195544","84807.0913080274","88387.6525303652","92124.4273380778","93898.1784415133","96815.9387385429","92308.654444408","90839.6331566865","97390.2990609776","95748.9068524897","94688.1438684681","100101.558083729","107548.40115971","108491.294896301","107345.515721636","94896.5016027047","83865.4109958942","69931.7320214158","67759.8292636078","72666.7454527676","74503.0662716163","75169.0501536738","77756.4733208773","68409.2329713444","67256.774530699","69205.7285302197","76767.4945228981","78839.0924807408","66153.2638626181","68912.5455473732","78915.0314844561","",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7183.58382562643","7990.18800352353","8699.39508000729","9506.50543115127","10138.6816541837","9925.12989526904","10531.8458193995","11444.4740607451","11880.4806279761","11506.6988843989","11542.9860028113","11159.3299223816","9990.72022161809","10974.3241728286","12162.3374741639","13513.6702919661","14896.7335378162","16510.4482429226","17336.9328242167","16249.730130137","18063.9143432506","19322.2271236942","19629.898037089","20108.2057008715","19649.3528905429","20058.3386388829","20248.7213872191","23514.6670870249","24498.378926706","23535.01275094","22302.1504890016","26086.8023552274","29037.4069656523","",
